#class	class id	1	1a	2	2a
1	no - Root	0.998324	0.968774	0.99419	0.962519
1.1.1.1.1.1.	family - Gallionellaceae	0.04	0.04	0.04	0.04
1.1.1.1.1.1.1.	genus - Gallionella	0.02	0.02	0.02	0.02
1.1.1.1.1.1.1.1.	species - uncultured_bacterium	0.01	0.01	0.01	0.01
1.1.1.1.1.1.1.1.	species - uncultured_bacterium	0.01	0.01	0.01	0.01
1.1.1.1.1.1.1.	genus - Gallionella	0.02	0.02	0.02	0.02
1.1.1.1.1.1.1.1.	species - uncultured_bacterium	0.01	0.01	0.01	0.01
1.1.1.1.1.1.1.1.	species - uncultured_bacterium	0.01	0.01	0.01	0.01
1.1.1.1.	class - Gammaproteobacteria	0.05	0.05	0.05	0.05
1.1.1.1.1.	order - Burkholderiales	0.05	0.05	0.05	0.05
1.1.1.1.1.1.	family - Gallionellaceae	0.01	0.01	0.01	0.01
1.1.1.1.1.1.1.	genus - Gallionella	0.01	0.01	0.01	0.01
1.1.1.1.1.1.1.1.	species - uncultured_bacterium	0.01	0.01	0.01	0.01
1.1.1.1.1.1.	family - Gallionellaceae	0.04	0.04	0.04	0.04
1.1.1.1.1.1.1.	genus - Gallionella	0.02	0.02	0.02	0.02
1.1.1.1.1.1.1.1.	species - uncultured_bacterium	0.01	0.01	0.01	0.01
1.1.1.1.1.1.1.1.	species - uncultured_bacterium	0.01	0.01	0.01	0.01
1.1.1.1.1.1.1.	genus - Gallionella	0.02	0.02	0.02	0.02
1.1.1.1.1.1.1.1.	species - uncultured_bacterium	0.01	0.01	0.01	0.01
1.1.1.1.1.1.1.1.	species - uncultured_bacterium	0.01	0.01	0.01	0.01
1.1.1.	phylum - Proteobacteria	0.1	0.1	0.1	0.1
1.1.1.1.	class - Gammaproteobacteria	0.05	0.05	0.05	0.05
1.1.1.1.1.	order - Burkholderiales	0.05	0.05	0.05	0.05
1.1.1.1.1.1.	family - Gallionellaceae	0.01	0.01	0.01	0.01
1.1.1.1.1.1.1.	genus - Gallionella	0.01	0.01	0.01	0.01
1.1.1.1.1.1.1.1.	species - uncultured_bacterium	0.01	0.01	0.01	0.01
1.1.1.1.1.1.	family - Gallionellaceae	0.04	0.04	0.04	0.04
1.1.1.1.1.1.1.	genus - Gallionella	0.02	0.02	0.02	0.02
1.1.1.1.1.1.1.1.	species - uncultured_bacterium	0.01	0.01	0.01	0.01
1.1.1.1.1.1.1.1.	species - uncultured_bacterium	0.01	0.01	0.01	0.01
1.1.1.1.1.1.1.	genus - Gallionella	0.02	0.02	0.02	0.02
1.1.1.1.1.1.1.1.	species - uncultured_bacterium	0.01	0.01	0.01	0.01
1.1.1.1.1.1.1.1.	species - uncultured_bacterium	0.01	0.01	0.01	0.01
1.1.1.1.	class - Gammaproteobacteria	0.05	0.05	0.05	0.05
1.1.1.1.1.	order - Burkholderiales	0.05	0.05	0.05	0.05
1.1.1.1.1.1.	family - Gallionellaceae	0.01	0.01	0.01	0.01
1.1.1.1.1.1.1.	genus - Gallionella	0.01	0.01	0.01	0.01
1.1.1.1.1.1.1.1.	species - uncultured_bacterium	0.01	0.01	0.01	0.01
1.1.1.1.1.1.	family - Gallionellaceae	0.04	0.04	0.04	0.04
1.1.1.1.1.1.1.	genus - Gallionella	0.02	0.02	0.02	0.02
1.1.1.1.1.1.1.1.	species - uncultured_bacterium	0.01	0.01	0.01	0.01
1.1.1.1.1.1.1.1.	species - uncultured_bacterium	0.01	0.01	0.01	0.01
1.1.1.1.1.1.1.	genus - Gallionella	0.02	0.02	0.02	0.02
1.1.1.1.1.1.1.1.	species - uncultured_bacterium	0.01	0.01	0.01	0.01
1.1.1.1.1.1.1.1.	species - uncultured_bacterium	0.01	0.01	0.01	0.01
1.1.1.	phylum - Proteobacteria	0.1	0.1	0.1	0.1
1.1.1.1.	class - Gammaproteobacteria	0.05	0.05	0.05	0.05
1.1.1.1.1.	order - Burkholderiales	0.05	0.05	0.05	0.05
1.1.1.1.1.1.	family - Gallionellaceae	0.01	0.01	0.01	0.01
1.1.1.1.1.1.1.	genus - Gallionella	0.01	0.01	0.01	0.01
1.1.1.1.1.1.1.1.	species - uncultured_bacterium	0.01	0.01	0.01	0.01
1.1.1.1.1.1.	family - Gallionellaceae	0.04	0.04	0.04	0.04
1.1.1.1.1.1.1.	genus - Gallionella	0.02	0.02	0.02	0.02
1.1.1.1.1.1.1.1.	species - uncultured_bacterium	0.01	0.01	0.01	0.01
1.1.1.1.1.1.1.1.	species - uncultured_bacterium	0.01	0.01	0.01	0.01
1.1.1.1.1.1.1.	genus - Gallionella	0.02	0.02	0.02	0.02
1.1.1.1.1.1.1.1.	species - uncultured_bacterium	0.01	0.01	0.01	0.01
1.1.1.1.1.1.1.1.	species - uncultured_bacterium	0.01	0.01	0.01	0.01
1.1.1.1.	class - Gammaproteobacteria	0.05	0.05	0.05	0.05
1.1.1.1.1.	order - Burkholderiales	0.05	0.05	0.05	0.05
1.1.1.1.1.1.	family - Gallionellaceae	0.01	0.01	0.01	0.01
1.1.1.1.1.1.1.	genus - Gallionella	0.01	0.01	0.01	0.01
1.1.1.1.1.1.1.1.	species - uncultured_bacterium	0.01	0.01	0.01	0.01
1.1.1.1.1.1.	family - Gallionellaceae	0.04	0.04	0.04	0.04
1.1.1.1.1.1.1.	genus - Gallionella	0.02	0.02	0.02	0.02
1.1.1.1.1.1.1.1.	species - uncultured_bacterium	0.01	0.01	0.01	0.01
1.1.1.1.1.1.1.1.	species - uncultured_bacterium	0.01	0.01	0.01	0.01
1.1.1.1.1.1.1.	genus - Gallionella	0.02	0.02	0.02	0.02
1.1.1.1.1.1.1.1.	species - uncultured_bacterium	0.01	0.01	0.01	0.01
1.1.1.1.1.1.1.1.	species - uncultured_bacterium	0.01	0.01	0.01	0.01
1.1.1.	phylum - Proteobacteria	0.1	0.1	0.1	0.1
1.1.1.1.	class - Gammaproteobacteria	0.05	0.05	0.05	0.05
1.1.1.1.1.	order - Burkholderiales	0.05	0.05	0.05	0.05
1.1.1.1.1.1.	family - Gallionellaceae	0.01	0.01	0.01	0.01
1.1.1.1.1.1.1.	genus - Gallionella	0.01	0.01	0.01	0.01
1.1.1.1.1.1.1.1.	species - uncultured_bacterium	0.01	0.01	0.01	0.01
1.1.1.1.1.1.	family - Gallionellaceae	0.04	0.04	0.04	0.04
1.1.1.1.1.1.1.	genus - Gallionella	0.02	0.02	0.02	0.02
1.1.1.1.1.1.1.1.	species - uncultured_bacterium	0.01	0.01	0.01	0.01
1.1.1.1.1.1.1.1.	species - uncultured_bacterium	0.01	0.01	0.01	0.01
1.1.1.1.1.1.1.	genus - Gallionella	0.02	0.02	0.02	0.02
1.1.1.1.1.1.1.1.	species - uncultured_bacterium	0.01	0.01	0.01	0.01
1.1.1.1.1.1.1.1.	species - uncultured_bacterium	0.01	0.01	0.01	0.01
1.1.1.1.	class - Gammaproteobacteria	0.05	0.05	0.05	0.05
1.1.1.1.1.	order - Burkholderiales	0.05	0.05	0.05	0.05
1.1.1.1.1.1.	family - Gallionellaceae	0.01	0.01	0.01	0.01
1.1.1.1.1.1.1.	genus - Gallionella	0.01	0.01	0.01	0.01
1.1.1.1.1.1.1.1.	species - uncultured_bacterium	0.01	0.01	0.01	0.01
1.1.1.1.1.1.	family - Gallionellaceae	0.04	0.04	0.04	0.04
1.1.1.1.1.1.1.	genus - Gallionella	0.02	0.02	0.02	0.02
1.1.1.1.1.1.1.1.	species - uncultured_bacterium	0.01	0.01	0.01	0.01
1.1.1.1.1.1.1.1.	species - uncultured_bacterium	0.01	0.01	0.01	0.01
1.1.1.1.1.1.1.	genus - Gallionella	0.02	0.02	0.02	0.02
1.1.1.1.1.1.1.1.	species - uncultured_bacterium	0.01	0.01	0.01	0.01
1.1.1.1.1.1.1.1.	species - uncultured_bacterium	0.01	0.01	0.01	0.01
1.1.1.	phylum - Proteobacteria	0.1	0.1	0.1	0.1
1.1.1.1.	class - Gammaproteobacteria	0.05	0.05	0.05	0.05
1.1.1.1.1.	order - Burkholderiales	0.05	0.05	0.05	0.05
1.1.1.1.1.1.	family - Gallionellaceae	0.01	0.01	0.01	0.01
1.1.1.1.1.1.1.	genus - Gallionella	0.01	0.01	0.01	0.01
1.1.1.1.1.1.1.1.	species - uncultured_bacterium	0.01	0.01	0.01	0.01
1.1.1.1.1.1.	family - Gallionellaceae	0.04	0.04	0.04	0.04
1.1.1.1.1.1.1.	genus - Gallionella	0.02	0.02	0.02	0.02
1.1.1.1.1.1.1.1.	species - uncultured_bacterium	0.01	0.01	0.01	0.01
1.1.1.1.1.1.1.1.	species - uncultured_bacterium	0.01	0.01	0.01	0.01
1.1.1.1.1.1.1.	genus - Gallionella	0.02	0.02	0.02	0.02
1.1.1.1.1.1.1.1.	species - uncultured_bacterium	0.01	0.01	0.01	0.01
1.1.1.1.1.1.1.1.	species - uncultured_bacterium	0.01	0.01	0.01	0.01
1.1.1.1.	class - Gammaproteobacteria	0.05	0.05	0.05	0.05
1.1.1.1.1.	order - Burkholderiales	0.05	0.05	0.05	0.05
1.1.1.1.1.1.	family - Gallionellaceae	0.01	0.01	0.01	0.01
1.1.1.1.1.1.1.	genus - Gallionella	0.01	0.01	0.01	0.01
1.1.1.1.1.1.1.1.	species - uncultured_bacterium	0.01	0.01	0.01	0.01
1.1.1.1.1.1.	family - Gallionellaceae	0.04	0.04	0.04	0.04
1.1.1.1.1.1.1.	genus - Gallionella	0.02	0.02	0.02	0.02
1.1.1.1.1.1.1.1.	species - uncultured_bacterium	0.01	0.01	0.01	0.01
1.1.1.1.1.1.1.1.	species - uncultured_bacterium	0.01	0.01	0.01	0.01
1.1.1.1.1.1.1.	genus - Gallionella	0.02	0.02	0.02	0.02
1.1.1.1.1.1.1.1.	species - uncultured_bacterium	0.01	0.01	0.01	0.01
1.1.1.1.1.1.1.1.	species - uncultured_bacterium	0.01	0.01	0.01	0.01
1.1.1.	phylum - Proteobacteria	0.1	0.1	0.1	0.1
1.1.1.1.	class - Gammaproteobacteria	0.05	0.05	0.05	0.05
1.1.1.1.1.	order - Burkholderiales	0.05	0.05	0.05	0.05
1.1.1.1.1.1.	family - Gallionellaceae	0.01	0.01	0.01	0.01
1.1.1.1.1.1.1.	genus - Gallionella	0.01	0.01	0.01	0.01
1.1.1.1.1.1.1.1.	species - uncultured_bacterium	0.01	0.01	0.01	0.01
1.1.1.1.1.1.	family - Gallionellaceae	0.04	0.04	0.04	0.04
1.1.1.1.1.1.1.	genus - Gallionella	0.02	0.02	0.02	0.02
1.1.1.1.1.1.1.1.	species - uncultured_bacterium	0.01	0.01	0.01	0.01
1.1.1.1.1.1.1.1.	species - uncultured_bacterium	0.01	0.01	0.01	0.01
1.1.1.1.1.1.1.	genus - Gallionella	0.02	0.02	0.02	0.02
1.1.1.1.1.1.1.1.	species - uncultured_bacterium	0.01	0.01	0.01	0.01
1.1.1.1.1.1.1.1.	species - uncultured_bacterium	0.01	0.01	0.01	0.01
1.1.1.1.	class - Gammaproteobacteria	0.05	0.05	0.05	0.05
1.1.1.1.1.	order - Burkholderiales	0.05	0.05	0.05	0.05
1.1.1.1.1.1.	family - Gallionellaceae	0.01	0.01	0.01	0.01
1.1.1.1.1.1.1.	genus - Gallionella	0.01	0.01	0.01	0.01
1.1.1.1.1.1.1.1.	species - uncultured_bacterium	0.01	0.01	0.01	0.01
1.1.1.1.1.1.	family - Gallionellaceae	0.04	0.04	0.04	0.04
1.1.1.1.1.1.1.	genus - Gallionella	0.02	0.02	0.02	0.02
1.1.1.1.1.1.1.1.	species - uncultured_bacterium	0.01	0.01	0.01	0.01
1.1.1.1.1.1.1.1.	species - uncultured_bacterium	0.01	0.01	0.01	0.01
1.1.1.1.1.1.1.	genus - Gallionella	0.02	0.02	0.02	0.02
1.1.1.1.1.1.1.1.	species - uncultured_bacterium	0.01	0.01	0.01	0.01
1.1.1.1.1.1.1.1.	species - uncultured_bacterium	0.01	0.01	0.01	0.01
1.1.1.	phylum - Proteobacteria	0.1	0.1	0.1	0.1
1.1.1.1.	class - Gammaproteobacteria	0.05	0.05	0.05	0.05
1.1.1.1.1.	order - Burkholderiales	0.05	0.05	0.05	0.05
1.1.1.1.1.1.	family - Gallionellaceae	0.01	0.01	0.01	0.01
1.1.1.1.1.1.1.	genus - Gallionella	0.01	0.01	0.01	0.01
1.1.1.1.1.1.1.1.	species - uncultured_bacterium	0.01	0.01	0.01	0.01
1.1.1.1.1.1.	family - Gallionellaceae	0.04	0.04	0.04	0.04
1.1.1.1.1.1.1.	genus - Gallionella	0.02	0.02	0.02	0.02
1.1.1.1.1.1.1.1.	species - uncultured_bacterium	0.01	0.01	0.01	0.01
1.1.1.1.1.1.1.1.	species - uncultured_bacterium	0.01	0.01	0.01	0.01
1.1.1.1.1.1.1.	genus - Gallionella	0.02	0.02	0.02	0.02
1.1.1.1.1.1.1.1.	species - uncultured_bacterium	0.01	0.01	0.01	0.01
1.1.1.1.1.1.1.1.	species - uncultured_bacterium	0.01	0.01	0.01	0.01
1.1.1.1.	class - Gammaproteobacteria	0.05	0.05	0.05	0.05
1.1.1.1.1.	order - Burkholderiales	0.05	0.05	0.05	0.05
1.1.1.1.1.1.	family - Gallionellaceae	0.01	0.01	0.01	0.01
1.1.1.1.1.1.1.	genus - Gallionella	0.01	0.01	0.01	0.01
1.1.1.1.1.1.1.1.	species - uncultured_bacterium	0.01	0.01	0.01	0.01
1.1.1.1.1.1.	family - Gallionellaceae	0.04	0.04	0.04	0.04
1.1.1.1.1.1.1.	genus - Gallionella	0.02	0.02	0.02	0.02
1.1.1.1.1.1.1.1.	species - uncultured_bacterium	0.01	0.01	0.01	0.01
1.1.1.1.1.1.1.1.	species - uncultured_bacterium	0.01	0.01	0.01	0.01
1.1.1.1.1.1.1.	genus - Gallionella	0.02	0.02	0.02	0.02
1.1.1.1.1.1.1.1.	species - uncultured_bacterium	0.01	0.01	0.01	0.01
1.1.1.1.1.1.1.1.	species - uncultured_bacterium	0.01	0.01	0.01	0.01
